"year","ram_bmsy","gapfilled","stock_id"
2001,1.12,3,"Thunnus_alalunga-57"
2002,1.06,3,"Thunnus_alalunga-57"
2003,1.03,3,"Thunnus_alalunga-57"
2004,1.01,3,"Thunnus_alalunga-57"
2005,1.03,3,"Thunnus_alalunga-57"
2006,1.06,3,"Thunnus_alalunga-57"
2007,1.08,3,"Thunnus_alalunga-57"
2008,NA,3,"Thunnus_alalunga-57"
2009,NA,3,"Thunnus_alalunga-57"
2010,NA,3,"Thunnus_alalunga-57"
2001,1.48,1,"Thunnus_obesus-57"
2002,1.42,1,"Thunnus_obesus-57"
2003,1.33,1,"Thunnus_obesus-57"
2004,1.29,1,"Thunnus_obesus-57"
2005,1.27,1,"Thunnus_obesus-57"
2006,1.25,1,"Thunnus_obesus-57"
2007,1.27,1,"Thunnus_obesus-57"
2008,1.23,1,"Thunnus_obesus-57"
2009,1.2,1,"Thunnus_obesus-57"
2010,NA,1,"Thunnus_obesus-57"
2001,3.62,1,"Katsuwonus_pelamis-57"
2002,3.63,1,"Katsuwonus_pelamis-57"
2003,3.4,1,"Katsuwonus_pelamis-57"
2004,3.31,1,"Katsuwonus_pelamis-57"
2005,3.88,1,"Katsuwonus_pelamis-57"
2006,3.67,1,"Katsuwonus_pelamis-57"
2007,2.34,1,"Katsuwonus_pelamis-57"
2008,2,1,"Katsuwonus_pelamis-57"
2009,2.56,1,"Katsuwonus_pelamis-57"
2010,NA,1,"Katsuwonus_pelamis-57"
2001,2.77,1,"Xiphias_gladius-57"
2002,2.58,1,"Xiphias_gladius-57"
2003,2.36,1,"Xiphias_gladius-57"
2004,2.14,1,"Xiphias_gladius-57"
2005,1.97,1,"Xiphias_gladius-57"
2006,1.86,1,"Xiphias_gladius-57"
2007,1.76,1,"Xiphias_gladius-57"
2008,1.65,1,"Xiphias_gladius-57"
2009,1.59,1,"Xiphias_gladius-57"
2010,NA,1,"Xiphias_gladius-57"
2001,1.91,1,"Thunnus_albacares-57"
2002,1.87,1,"Thunnus_albacares-57"
2003,1.8,1,"Thunnus_albacares-57"
2004,1.76,1,"Thunnus_albacares-57"
2005,1.63,1,"Thunnus_albacares-57"
2006,1.45,1,"Thunnus_albacares-57"
2007,1.31,1,"Thunnus_albacares-57"
2008,1.13,1,"Thunnus_albacares-57"
2009,0.993,1,"Thunnus_albacares-57"
2010,NA,1,"Thunnus_albacares-57"
2001,1.47,3,"Thunnus_alalunga-81"
2002,1.5,3,"Thunnus_alalunga-81"
2003,1.48,3,"Thunnus_alalunga-81"
2004,1.43,3,"Thunnus_alalunga-81"
2005,1.37,3,"Thunnus_alalunga-81"
2006,1.38,3,"Thunnus_alalunga-81"
2007,1.39,3,"Thunnus_alalunga-81"
2008,NA,3,"Thunnus_alalunga-81"
2009,NA,3,"Thunnus_alalunga-81"
2010,NA,3,"Thunnus_alalunga-81"
2001,0.55,2,"Thunnus_orientalis-81"
2002,0.52,2,"Thunnus_orientalis-81"
2003,0.51,2,"Thunnus_orientalis-81"
2004,0.5,2,"Thunnus_orientalis-81"
2005,0.5,2,"Thunnus_orientalis-81"
2006,0.5,2,"Thunnus_orientalis-81"
2007,0.44,2,"Thunnus_orientalis-81"
2008,0.42,2,"Thunnus_orientalis-81"
2009,NA,2,"Thunnus_orientalis-81"
2010,NA,2,"Thunnus_orientalis-81"
2001,1.02,NA,"Kajikia_audax-81"
2002,1.01,NA,"Kajikia_audax-81"
2003,0.94,NA,"Kajikia_audax-81"
2004,0.83,NA,"Kajikia_audax-81"
2005,0.75,NA,"Kajikia_audax-81"
2006,0.76,NA,"Kajikia_audax-81"
2007,0.81,NA,"Kajikia_audax-81"
2008,0.85,NA,"Kajikia_audax-81"
2009,0.82,NA,"Kajikia_audax-81"
2010,0.81,NA,"Kajikia_audax-81"
2001,1.47,3,"Thunnus_alalunga-71"
2002,1.5,3,"Thunnus_alalunga-71"
